city,state,payout,avg_payout,zips,population,county
Fairburn,GA,75.6,75.6,1,16831,Fulton
Fairview,OR,75.6,75.6,1,10735,Multnomah
Griffin,GA,75.6,70.875,2,23761,Spalding
Hillsboro,OR,75.6,58.099999999999994,3,108231,Washington
Lilburn,GA,75.6,65.3,2,15390,Gwinnett
Fountain,CO,75.25,75.25,1,29300,El Paso
Paradise Valley,AZ,75.25,75.25,1,12611,Maricopa
Maricopa,AZ,74.05,52.425,2,72459,Pinal
Gibsonville,NC,73.75,73.75,1,9467,Guilford
Lake Oswego,OR,73.08,62.79,2,40381,Clackamas
Clarkston,GA,72.45,72.45,1,14557,DeKalb
Fort Myers,FL,72.45,54.168,15,95051,Lee
Naples,FL,72.45,59.51705882352941,17,19704,Collier
Thomasville,NC,72.45,56.435,2,27321,Davidson
Clackamas,OR,72.24,72.24,1,26738,Clackamas
Happy Valley,OR,72.24,72.24,1,26738,Clackamas
Avondale,AZ,70.88,59.855,2,92477,Maricopa
Deerfield Beach,FL,70.88,66.79333333333334,3,88093,Broward
Newton Upper Falls,MA,70.88,70.88,1,89044,Middlesex
Quincy,MA,70.88,59.629999999999995,4,102114,Norfolk
Tualatin,OR,70.88,70.88,1,27763,Washington
West Linn,OR,70.88,70.88,1,26935,Clackamas
Wilsonville,OR,70.88,70.88,1,26974,Clackamas
Woodburn,OR,70.88,70.88,1,27875,Marion
Mebane,NC,70.03,70.03,1,19538,Alamance
Raynham,MA,70.03,70.03,1,60433,Bristol
Glen Allen,VA,70.0,39.03333333333333,3,17551,Henrico
Henrico,VA,70.0,49.708571428571425,7,49183,Henrico
Mechanicsville,VA,70.0,70.0,2,38683,Hanover
Midlothian,VA,70.0,37.71333333333333,3,19120,Chesterfield
Williamsburg,VA,70.0,46.0,4,97985,Williamsburg
Gibsonton,FL,69.3,69.3,1,18754,Hillsborough
Pompano Beach,FL,69.3,66.041875,16,114147,Broward
Boca Raton,FL,68.78,65.505625,16,100234,Palm Beach
Boynton Beach,FL,68.78,66.09333333333333,9,81435,Palm Beach
Lake Worth,FL,68.78,66.26125,8,62146,Palm Beach
Palm Beach,FL,68.78,68.78,1,9348,Palm Beach
Palm Beach Gardens,FL,68.78,66.765,2,60959,Palm Beach
Dallas,OR,68.75,68.75,1,17531,Polk
Independence,OR,68.75,68.75,1,10199,Polk
