keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
dryer heats up but not drying clothes,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov,False,
dryer is not heating enough,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
dryer isnt spinning,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
dryer machine doesn t heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
dryer machine is not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr,False,
dryer machine not drying clothes,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr,False,
dryer machine not getting hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov,False,
dryer no longer drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,May,False,
dryer not drying clothes fast enough,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
dryer not drying enough,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct/Dec,False,
dryer not getting heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
dryer not working no heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb/Apr,False,
dryer runs but does not heat up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov/Mar,True,voice
dryer spins but doesn t heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
dryer stop getting hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan/Mar,False,
dryer will not get hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan/Mar,False,
drying not drying clothes,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb,False,
drying not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Mar,False,
drying without heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr,False,
electrolux heat pump dryer not drying clothes properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep,False,
gas dryer does not heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
gas dryer will not heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
heat stopped working in dryer,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Feb/Apr,False,
indesit condenser dryer not drying clothes,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/May,False,
lg dryer not drying properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec,False,
lg heat pump dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,May,False,
maytag dryer does not heat up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
maytag dryer will not heat up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
maytag gas clothes dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Mar,False,
maytag gas dryer will not heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Mar,False,
miele condenser dryer problems,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
miele dryer not drying properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
miele t1 classic dryer not drying properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
miele t1 dryer not drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Nov,False,
miele t1 dryer not drying properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
miele tumble dryer not drying properly,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
my clothes aren t drying in my dryer,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
my condenser dryer is not heating up,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,True,voice
my dryer is getting too hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Aug,False,
my samsung dryer isn t drying,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Aug,False,
no heat dryer troubleshooting,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Oct,False,
problems with heat pump dryers,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul,False,
reason dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jan,False,
