Campaign,Ad Group,ID#Original,ID,Location#Original,Location,Reach,Location groups#Original,Location groups,Radius#Original,Radius,Unit#Original,Unit,Bid Modifier,Campaign Status,Ad Group Status,Status,Comment
Core Electrician Services,,,9193946,,"Front,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9194132,,"Za'abeel 2,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9194381,,"Nad Al Sheba 1,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9194396,,"Al Barsha 3,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9195239,,"Al Khawaneej 1,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9195242,,"Al Rashidiya,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9197694,,"Dubai Marina,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9197736,,"Jumeirah,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9197746,,"Al Quoz,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9197761,,"Al Wasl,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9197790,,"Al Nahda,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9197916,,"Dubai Silicon Oasis,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9197967,,"Mirdif,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9198043,,"Za'abeel,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9198106,,"Al Quoz Industrial Area 3,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9198189,,"Umm Suqeim,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Core Electrician Services,,,9198260,,"Dubai International City,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Core Electrician Services,,,9198338,,"Jumeirah Village Circle,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Core Electrician Services,,,9198341,,"Al Sufouh 2,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
