keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
washer drain pipe leaking,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
washing machine drainage pipe leaking,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
leaking washing machine drain pipe,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
washer drain leak,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
washing machine drain leak,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
washing machine leaking from drain pipe,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
lg turbo drum washing machine water not draining,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
samsung washing machine automatic drain problem,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
samsung top load washer problems,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Mar/Jun,False,
samsung washer stopped spinning,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Jun,False,
washing machine filter leaking water,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Jun,False,
samsung washer loud spin cycle,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Jun,False,
samsung washing machine loud spin cycle,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Jun,False,
whirlpool washing machine not powering on,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
whirlpool washing machine not switching on,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
force unlock samsung washer,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
lg washer locked and won t open,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Jun,False,
washing machine leaking water from bottom,10,22,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer leaking water from bottom,10,22,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
bottom of washer leaking water,10,22,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
noisy washing machine,10,37,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
noisy washer,10,37,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
top loading washing machine leaking from bottom,10,37,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Dec/Jan/Apr/Jun,False,
top load washer leaking from bottom,10,37,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Dec/Jan/Apr/Jun,False,
washing machine drain not working,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Nov/Feb/May/Jun,False,
hisense washing machine not draining,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Mar/Jun,False,
candy washing machine not spinning,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Oct/Jan/Apr/Jun,False,
twin tub washing machine spinner not working,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Apr/Jun,False,
